Codebook Index Counts:
Index 1087: 235
Index 1088: 251
Index 1089: 193
Index 1090: 130
Index 1091: 100
Index 1092: 100
Index 1093: 137
Index 1094: 129
Index 1095: 83
Index 1096: 176
Index 1097: 123
Index 1098: 147
Index 1099: 226
Index 1100: 89
Index 1101: 184
Index 1102: 108
Index 1103: 264
Index 1104: 167
Index 1105: 85
Index 1106: 117
Index 1107: 218
Index 1108: 140
Index 1109: 162
Index 1110: 107
Index 1111: 100
Index 1112: 121
Index 1113: 73
Index 1114: 73
Index 1115: 149
Index 1116: 155
Index 1117: 223
Index 1118: 61
Index 1119: 96
Index 1120: 110
Index 1121: 121
Index 1122: 125
Index 1123: 109
Index 1124: 109
Index 1125: 103
Index 1126: 213
Index 1127: 74
Index 1128: 97
Index 1129: 125
Index 1130: 132
Index 1131: 84
Index 1132: 131
Index 1133: 162
Index 1134: 120
Index 1135: 121
Index 1136: 350
Index 1137: 137
Index 1138: 166
Index 1139: 239
Index 1140: 138
Index 1141: 105
Index 1142: 158
Index 1143: 103
Index 1144: 93
Index 1145: 88
Index 1146: 167
Index 1147: 88
Index 1148: 146
Index 1149: 77
Index 1150: 98
Index 1151: 165
Index 1152: 245
Index 1153: 132
Index 1154: 84
Index 1155: 94
Index 1156: 136
Index 1157: 138
Index 1158: 212
Index 1159: 162
Index 1160: 195
Index 1161: 231
Index 1162: 125
Index 1163: 184
Index 1164: 86
Index 1165: 120
Index 1166: 142
Index 1167: 261
Index 1168: 81
Index 1169: 128
Index 1170: 176
Index 1171: 127
Index 1172: 131
Index 1173: 115
Index 1174: 131
Index 1175: 115
Index 1176: 68
Index 1177: 146
Index 1178: 100
Index 1179: 72
Index 1180: 120
Index 1181: 142
Index 1182: 139
Index 1183: 70
Index 1184: 126
Index 1185: 168
Index 1186: 125
Index 1187: 70
Index 1188: 144
Index 1189: 109
Index 1190: 215
Index 1191: 124
Index 1192: 124
Index 1193: 133
Index 1194: 110
Index 1195: 289
Index 1196: 135
Index 1197: 158
Index 1198: 125
Index 1199: 97
Index 1200: 105
Index 1201: 134
Index 1202: 144
Index 1203: 123
Index 1204: 91
Index 1205: 59
Index 1206: 136
Index 1207: 147
Index 1208: 113
Index 1209: 93
Index 1210: 101
Index 1211: 168
Index 1212: 210
Index 1213: 121
Index 1214: 89
Index 1215: 132
Index 1216: 66
Index 1217: 121
Index 1218: 123
Index 1219: 114
Index 1220: 135
Index 1221: 101
Index 1222: 95
Index 1223: 95
Index 1224: 228
Index 1225: 128
Index 1226: 77
Index 1227: 122
Index 1228: 72
Index 1229: 114
Index 1230: 122
Index 1231: 75
Index 1232: 110
Index 1233: 160
Index 1234: 101
Index 1235: 153
Index 1236: 128
Index 1237: 76
Index 1238: 79
Index 1239: 114
Index 1240: 97
Index 1241: 117
Index 1242: 183
Index 1243: 103
Index 1244: 209
Index 1245: 194
Index 1246: 113
Index 1247: 112
Index 1248: 144
Index 1249: 146
Index 1250: 134
Index 1251: 142
Index 1252: 176
Index 1253: 128
Index 1254: 130
Index 1255: 122
Index 1256: 137
Index 1257: 79
Index 1258: 121
Index 1259: 126
Index 1260: 84
Index 1261: 95
Index 1262: 133
Index 1263: 157
Index 1264: 84
Index 1265: 120
Index 1266: 94
Index 1267: 107
Index 1268: 86
Index 1269: 170
Index 1270: 86
Index 1271: 96
Index 1272: 137
Index 1273: 139
Index 1274: 124
Index 1275: 126
Index 1276: 91
Index 1277: 117
Index 1278: 125
Index 1279: 74
Index 1280: 82
Index 1281: 139
Index 1282: 204
Index 1283: 185
Index 1284: 135
Index 1285: 161
Index 1286: 116
Index 1287: 169
Index 1288: 81
Index 1289: 77
Index 1290: 113
Index 1291: 212
Index 1292: 92
Index 1293: 248
Index 1294: 132
Index 1295: 97
Index 1296: 55
Index 1297: 151
Index 1298: 128
Index 1299: 227
Index 1300: 83
Index 1301: 132
Index 1302: 125
Index 1303: 95
Index 1304: 78
Index 1305: 181
Index 1306: 93
Index 1307: 130
Index 1308: 89
Index 1309: 139
Index 1310: 64
Index 1311: 176
Index 1312: 112
Index 1313: 173
Index 1314: 126
Index 1315: 112
Index 1316: 127
Index 1317: 97
Index 1318: 75
Index 1319: 101
Index 1320: 120
Index 1321: 164
Index 1322: 156
Index 1323: 155
Index 1324: 173
Index 1325: 74
Index 1326: 50
Index 1327: 72
Index 1328: 89
Index 1329: 81
Index 1330: 157
Index 1331: 118
Index 1332: 95
Index 1333: 104
Index 1334: 139
Index 1335: 110
Index 1336: 78
Index 1337: 139
Index 1338: 101
Index 1339: 106
Index 1340: 154
Index 1341: 160
Index 1342: 132
Index 1343: 53
Index 1344: 124
Index 1345: 110
Index 1346: 200
Index 1347: 135
Index 1348: 84
Index 1349: 80
Index 1350: 81
Index 1351: 88
Index 1352: 88
Index 1353: 94
Index 1354: 92
Index 1355: 129
Index 1356: 123
Index 1357: 104
Index 1358: 73
Index 1359: 187
Index 1360: 69
Index 1361: 155
Index 1362: 216
Index 1363: 206
Index 1364: 100
Index 1365: 189
Index 1366: 161
Index 1367: 118
Index 1368: 166
Index 1369: 136
Index 1370: 108
Index 1371: 61
Index 1372: 116
Index 1373: 133
Index 1374: 140
Index 1375: 97
Index 1376: 144
Index 1377: 132
Index 1378: 97
Index 1379: 137
Index 1380: 98
Index 1381: 144
Index 1382: 119
Index 1383: 90
Index 1384: 304
Index 1385: 103
Index 1386: 101
Index 1387: 104
Index 1388: 104
Index 1389: 192
Index 1390: 122
Index 1391: 92
Index 1392: 115
Index 1393: 131
Index 1394: 178
Index 1395: 93
Index 1396: 74
Index 1397: 83
Index 1398: 92
Index 1399: 119
Index 1400: 101
Index 1401: 100
Index 1402: 97
Index 1403: 131
Index 1404: 125
Index 1405: 133
Index 1406: 79
Index 1407: 113
Index 1408: 150
Index 1409: 87
Index 1410: 247
Index 1411: 126
Index 1412: 134
Index 1413: 211
Index 1414: 81
Index 1415: 165
Index 1416: 110
Index 1417: 130
Index 1418: 177
Index 1419: 67
Index 1420: 441
Index 1421: 115
Index 1422: 149
Index 1423: 161
Index 1424: 124
Index 1425: 136
Index 1426: 108
Index 1427: 116
Index 1428: 84
Index 1429: 98
Index 1430: 102
Index 1431: 89
Index 1432: 148
Index 1433: 128
Index 1434: 86
Index 1435: 90
Index 1436: 118
Index 1437: 161
Index 1438: 107
Index 1439: 182
Index 1440: 163
Index 1441: 122
Index 1442: 129
Index 1443: 132
Index 1444: 167
Index 1445: 137
Index 1446: 165
Index 1447: 106
Index 1448: 132
Index 1449: 129
Index 1450: 120
Index 1451: 117
Index 1452: 82
Index 1453: 164
Index 1454: 109
Index 1455: 122
Index 1456: 96
Index 1457: 152
Index 1458: 108
Index 1459: 139
Index 1460: 105
Index 1461: 136
Index 1462: 140
Index 1463: 145
Index 1464: 152
Index 1465: 195
Index 1466: 185
Index 1467: 115
Index 1468: 103
Index 1469: 57
Index 1470: 99
Index 1471: 111
Index 1472: 141
Index 1473: 145
Index 1474: 114
Index 1475: 135
Index 1476: 88
Index 1477: 140
Index 1478: 162
Index 1479: 146
Index 1480: 110
Index 1481: 173
Index 1482: 230
Index 1483: 294
Index 1484: 156
Index 1485: 107
Index 1486: 113
Index 1487: 88
Index 1488: 101
Index 1489: 113
Index 1490: 71
Index 1491: 136
Index 1492: 161
Index 1493: 65
Index 1494: 301
Index 1495: 134
Index 1496: 181
Index 1497: 74
Index 1498: 86
Index 1499: 91
Index 1500: 112
Index 1501: 93
Index 1502: 133
Index 1503: 139
Index 1504: 92
Index 1505: 137
Index 1506: 113
Index 1507: 124
Index 1508: 87
Index 1509: 159
Index 1510: 120
